ENTITYA,TYPEA,IDA,DATABASEA,MECHANISM,ENTITYB,TYPEB,IDB,DATABASEB,IDB,data_column
cortisone,chemical,CHEBI:16962,ChEBI,chemical_activation,NR3C1,protein,P04150,UNIPROT,P04150,1950-01-01
prednisolone,chemical,CHEBI:8378,ChEBI,chemical_activation,NR3C1,protein,P04150,UNIPROT,P04150,1960-09-01
prednisone,chemical,CHEBI:8382,ChEBI,chemical_activation,NR3C1,protein,P04150,UNIPROT,P04150,1970-01-01
prednisone,chemical,CHEBI:8382,ChEBI,chemical_activation,NR3C1,protein,P04150,UNIPROT,P04150,1972-12-21
ATR,protein,Q13535,UNIPROT,phosphorylation,KMT2A,protein,Q03164,UNIPROT,Q03164,1973-04-01
clobetasol,chemical,CHEBI:205919,ChEBI,chemical_activation,NR3C1,protein,P04150,UNIPROT,P04150,1974-02-01
ARSA,protein,P15289,UNIPROT,acetylation,HBA1,protein,P69905,UNIPROT,P69905,1975-07-01
ARSA,protein,P15289,UNIPROT,acetylation,HBB,protein,P68871,UNIPROT,P68871,1975-07-01
6alpha-methylprednisolone,chemical,CHEBI:6888,ChEBI,chemical_activation,NR3C1,protein,P04150,UNIPROT,P04150,1975-09-01
DAPK3,protein,O43293,UNIPROT,phosphorylation,MYL12B,protein,O14950,UNIPROT,O14950,1975-09-21
DAPK3,protein,O43293,UNIPROT,phosphorylation,MYL12B,protein,O14950,UNIPROT,O14950,1975-09-21
PRKACA,protein,P17612,UNIPROT,phosphorylation,GYS1,protein,P13807,UNIPROT,P13807,1977-08-15
CYP19A1,protein,P11511,UNIPROT,chemical_modification,17beta-estradiol,smallmolecule,CHEBI:16469,ChEBI,CHEBI:16469,1979-10-01
D-thyroxine,smallmolecule,CHEBI:30659,ChEBI,chemical_activation,THRA,protein,P10827,UNIPROT,P10827,1980-12-01
D-thyroxine,smallmolecule,CHEBI:30659,ChEBI,chemical_activation,THRB,protein,P10828,UNIPROT,P10828,1980-12-01
ESR1,protein,P03372,UNIPROT,transcriptional_regulation,OXT,protein,P01178,UNIPROT,P01178,1980-01-25
RARB,protein,P10826,UNIPROT,transcriptional_regulation,OXT,protein,P01178,UNIPROT,P01178,1980-01-25
